code	name
ABAR	Occidental-in-Argentina
ABAS	Occidental-in-Austria
ABAU	Occidental-in-Australia
ABBO	Occidental-in-Bolivia
ABBR	Occidental-in-Brazil
ABBW	Occidental-in-Botswana
ABCH	Occidental-in-China
ABCI	Occidental-in-Chile
ABCR	Occidental-in-Costa Rica
ABCZ	Occidental-in-the-Czech Republic
ABDE	Occidental-in-Denmark
ABDR	Occidental-in-the-Dominican Republic
ABFR	Occidental-in-France
ABGE	Occidental-in-Germany
ABHU	Occidental-in-Hungary
ABIC	Occidental-in-Iceland
ABID	Occidental-in-Indonesia
ABIN	Occidental-in-India
ABIR	Occidental-in-Ireland
ABIT	Occidental-in-Italy
ABJA	Occidental-in-Japan
ABJO	Occidental-in-Jordan
ABMO	Occidental-in-Morocco
ABNA	Occidental-in-the-Netherlands Antilles
ABNI	Occidental-in-Nicaragua
ABNT	Occidental-in-the-Netherlands
ABNZ	Occidental-in-New Zealand
ABPE	Occidental-in-Peru
ABRU	Occidental-in-Russia
ABSA	Occidental-in-South Africa
ABSE	Occidental-in-Senegal
ABSM	Occidental-in-Samoa
ABSN	Occidental-in-Sweden
ABSP	Occidental-in-Spain
ABSW	Occidental-in-Switzerland
ABTN	Occidental-in-Taiwan
ABUA	Occidental-in-the-United Arab Emirates
ABUK	Occidental-in-the-United Kingdom
AMST	American Studies
ARAB	Arabic
ARTH	Art History and Visual Arts/Art History
ARTM	Art History and Visual Arts/Media Arts and Culture
ARTS	Art History and Visual Arts/Studio Art
BICH	Biochemistry
BIO	Biology
CHEM	Chemistry
CHIN	Chinese
CLAS	Classical Studies
COGS	Cognitive Science
COMP	Computer Science
CSLC	Comparative Studies in Literature and Culture
CSP	Cultural Studies Program
CTSJ	Critical Theory and Social Justice
DWA	Diplomacy and World Affairs
ECLS	English and Comparative Literary Studies
ECON	Economics
EDUC	Education
ENGL	English
ENWR	English Writing
FREN	French
GEO	Geology
GERM	German
GRK	Greek
HIST	History
ITAL	Italian
JAPN	Japanese
KINE	Kinesiology
LANG	Language
LATN	Latin
LING	Linguistics
LLAS	Latino/a and Latin American Studies
MATH	Mathematics
MUSA	Music Applied Study
MUSC	Music
OXAB	Study Abroad
PHAC	Physical Activities
PHIL	Philosophy
PHYS	Physics
POLS	Politics
PSYC	Psychology
RELS	Religious Studies
RUSN	Russian
SOC	Sociology
SPAN	Spanish and French Studies
THEA	Theater
UEP	Urban and Environmental Policy
WRD	Writing and Rhetoric
